subscription_id,user_id,subscription_start_date,subscription_end_date,plan_type,initial_price,renewal_price,currency,payment_method,is_canceled,cancellation_date,cancellation_reason
sub000001,u000001,2023-01-26 00:00:00,2023-02-25 00:00:00,monthly,30.0,30.0,BRL,apple_pay,True,2023-02-23 00:00:00,privacy_concerns
sub000002,u000002,2023-01-16 00:00:00,2023-02-15 00:00:00,monthly,30.0,30.0,USD,credit_card,True,2023-02-14 00:00:00,found_better_app
sub000003,u000003,2023-01-25 00:00:00,2023-02-24 00:00:00,monthly,30.0,30.0,BRL,apple_pay,False,,
sub000004,u000004,2023-03-07 00:00:00,2023-04-06 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000005,u000005,2023-02-19 00:00:00,2023-03-21 00:00:00,monthly,30.0,30.0,USD,paypal,True,2023-03-19 00:00:00,privacy_concerns
sub000006,u000006,2023-02-17 00:00:00,2023-03-19 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000007,u000007,2023-02-27 00:00:00,2023-03-29 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000008,u000008,2023-02-07 00:00:00,2023-03-09 00:00:00,monthly,30.0,30.0,USD,credit_card,True,2023-03-02 00:00:00,customer_service
sub000009,u000009,2023-01-14 00:00:00,,annual,300.0,300.0,CAD,apple_pay,True,2023-06-26 00:00:00,found_better_app
sub000010,u000010,2023-03-04 00:00:00,,biannual,240.0,240.0,USD,credit_card,True,2023-03-16 00:00:00,customer_service
sub000011,u000011,2023-01-29 00:00:00,,annual,300.0,300.0,EUR,google_pay,True,2023-02-25 00:00:00,technical_issues
sub000012,u000012,2023-03-17 00:00:00,2023-04-16 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000013,u000013,2023-01-05 00:00:00,2023-02-04 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000014,u000014,2023-02-17 00:00:00,2023-03-19 00:00:00,monthly,30.0,30.0,USD,apple_pay,True,2023-03-13 00:00:00,didnt_use_enough
sub000015,u000015,2023-02-16 00:00:00,2023-03-18 00:00:00,monthly,30.0,30.0,USD,google_pay,True,2023-03-16 00:00:00,didnt_like_interface
sub000016,u000016,2023-02-27 00:00:00,,annual,300.0,300.0,GBP,paypal,True,2023-03-07 00:00:00,found_better_app
sub000017,u000017,2023-02-07 00:00:00,2023-03-09 00:00:00,monthly,30.0,30.0,USD,google_pay,False,,
sub000018,u000018,2023-01-23 00:00:00,2023-02-22 00:00:00,monthly,30.0,30.0,GBP,credit_card,True,2023-02-12 00:00:00,poor_battery_life
sub000019,u000019,2023-03-26 00:00:00,2023-04-25 00:00:00,monthly,30.0,30.0,EUR,credit_card,False,,
sub000020,u000020,2023-02-18 00:00:00,,annual,300.0,300.0,USD,apple_pay,True,2023-02-26 00:00:00,didnt_use_enough
sub000021,u000021,2023-02-06 00:00:00,,biannual,240.0,240.0,GBP,apple_pay,True,2023-06-20 00:00:00,privacy_concerns
sub000022,u000022,2023-01-22 00:00:00,2023-02-21 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000023,u000023,2023-01-18 00:00:00,,annual,300.0,300.0,GBP,google_pay,True,2023-06-25 00:00:00,didnt_use_enough
sub000024,u000024,2023-02-25 00:00:00,2023-03-27 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000025,u000025,2023-01-21 00:00:00,,annual,300.0,300.0,INR,credit_card,True,2023-01-31 00:00:00,customer_service
sub000026,u000026,2023-04-06 00:00:00,2023-05-06 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000027,u000027,2023-01-17 00:00:00,2023-02-16 00:00:00,monthly,30.0,30.0,USD,credit_card,True,2023-02-11 00:00:00,too_expensive
sub000028,u000028,2023-02-13 00:00:00,2023-03-15 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000029,u000029,2023-03-20 00:00:00,,annual,300.0,300.0,USD,google_pay,False,,
sub000030,u000030,2023-01-19 00:00:00,,annual,300.0,300.0,USD,paypal,True,2023-06-21 00:00:00,technical_issues
sub000031,u000031,2023-01-19 00:00:00,,annual,300.0,300.0,USD,paypal,True,2023-02-05 00:00:00,didnt_like_interface
sub000032,u000032,2023-03-28 00:00:00,2023-04-27 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000033,u000033,2023-02-10 00:00:00,2023-03-12 00:00:00,monthly,30.0,30.0,AUD,apple_pay,True,2023-03-03 00:00:00,privacy_concerns
sub000034,u000034,2023-05-04 00:00:00,2023-06-03 00:00:00,monthly,30.0,30.0,JPY,credit_card,False,,
sub000035,u000035,2023-04-13 00:00:00,2023-05-13 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000036,u000036,2023-03-28 00:00:00,,biannual,240.0,240.0,USD,google_pay,True,2023-04-03 00:00:00,found_better_app
sub000037,u000037,2023-01-22 00:00:00,2023-02-21 00:00:00,monthly,30.0,30.0,USD,google_pay,False,,
sub000038,u000038,2023-02-07 00:00:00,2023-03-09 00:00:00,monthly,30.0,30.0,USD,apple_pay,True,2023-02-27 00:00:00,customer_service
sub000039,u000039,2023-03-25 00:00:00,2023-04-24 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000040,u000040,2023-01-31 00:00:00,2023-03-02 00:00:00,monthly,30.0,30.0,GBP,google_pay,True,2023-02-24 00:00:00,didnt_like_interface
sub000041,u000041,2023-03-19 00:00:00,2023-04-18 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000042,u000042,2023-02-04 00:00:00,2023-03-06 00:00:00,monthly,30.0,30.0,EUR,apple_pay,False,,
sub000043,u000043,2023-03-14 00:00:00,2023-04-13 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000044,u000044,2023-03-05 00:00:00,,biannual,240.0,240.0,GBP,google_pay,False,,
sub000045,u000045,2023-01-21 00:00:00,,annual,300.0,300.0,BRL,apple_pay,True,2023-02-18 00:00:00,didnt_use_enough
sub000046,u000046,2023-02-22 00:00:00,2023-03-24 00:00:00,monthly,30.0,30.0,CAD,credit_card,False,,
sub000047,u000047,2023-02-01 00:00:00,2023-03-03 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000048,u000048,2023-03-10 00:00:00,2023-04-09 00:00:00,monthly,30.0,30.0,BRL,paypal,False,,
sub000049,u000049,2023-03-06 00:00:00,2023-04-05 00:00:00,monthly,30.0,30.0,USD,credit_card,False,,
sub000050,u000050,2023-03-06 00:00:00,2023-04-05 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000051,u000051,2023-04-30 00:00:00,2023-05-30 00:00:00,monthly,30.0,30.0,INR,paypal,True,2023-05-22 00:00:00,customer_service
sub000052,u000052,2023-02-15 00:00:00,,annual,300.0,300.0,BRL,credit_card,True,2023-06-28 00:00:00,didnt_like_interface
sub000053,u000053,2023-03-05 00:00:00,2023-04-04 00:00:00,monthly,30.0,30.0,EUR,google_pay,True,2023-03-28 00:00:00,technical_issues
sub000054,u000054,2023-03-03 00:00:00,2023-04-02 00:00:00,monthly,30.0,30.0,AUD,paypal,True,2023-03-23 00:00:00,privacy_concerns
sub000055,u000055,2023-04-20 00:00:00,2023-05-20 00:00:00,monthly,30.0,30.0,EUR,apple_pay,True,2023-05-13 00:00:00,privacy_concerns
sub000056,u000056,2023-01-25 00:00:00,2023-02-24 00:00:00,monthly,30.0,30.0,USD,paypal,False,,
sub000057,u000057,2023-04-12 00:00:00,,biannual,240.0,240.0,CAD,apple_pay,True,2023-06-21 00:00:00,didnt_like_interface
sub000058,u000058,2023-02-12 00:00:00,2023-03-14 00:00:00,monthly,30.0,30.0,USD,paypal,True,2023-03-12 00:00:00,too_expensive
sub000059,u000059,2023-02-19 00:00:00,2023-03-21 00:00:00,monthly,30.0,30.0,EUR,paypal,False,,
sub000060,u000060,2023-01-19 00:00:00,2023-02-18 00:00:00,monthly,30.0,30.0,CAD,credit_card,True,2023-02-09 00:00:00,didnt_like_interface
sub000061,u000061,2023-02-16 00:00:00,,biannual,240.0,240.0,EUR,credit_card,False,,
sub000062,u000062,2023-01-06 00:00:00,2023-02-05 00:00:00,monthly,30.0,30.0,USD,google_pay,False,,
sub000063,u000063,2023-01-21 00:00:00,,biannual,240.0,240.0,USD,google_pay,True,2023-02-04 00:00:00,didnt_like_interface
sub000064,u000064,2023-02-02 00:00:00,,annual,300.0,300.0,USD,apple_pay,True,2023-06-25 00:00:00,too_expensive
sub000065,u000065,2023-01-14 00:00:00,2023-02-13 00:00:00,monthly,30.0,30.0,USD,google_pay,False,,
sub000066,u000066,2023-01-06 00:00:00,,annual,300.0,300.0,USD,credit_card,True,2023-06-21 00:00:00,too_expensive
sub000067,u000067,2023-04-01 00:00:00,2023-05-01 00:00:00,monthly,30.0,30.0,EUR,google_pay,False,,
sub000068,u000068,2023-03-17 00:00:00,,annual,300.0,300.0,USD,apple_pay,False,,
sub000069,u000069,2023-04-23 00:00:00,2023-05-23 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000070,u000070,2023-01-20 00:00:00,,annual,300.0,300.0,EUR,apple_pay,True,2023-02-13 00:00:00,device_uncomfortable
sub000071,u000071,2023-02-11 00:00:00,2023-03-13 00:00:00,monthly,30.0,30.0,GBP,google_pay,False,,
sub000072,u000072,2023-03-07 00:00:00,2023-04-06 00:00:00,monthly,30.0,30.0,AUD,paypal,True,2023-03-31 00:00:00,didnt_use_enough
sub000073,u000073,2023-02-18 00:00:00,,annual,300.0,300.0,USD,credit_card,True,2023-06-26 00:00:00,customer_service
sub000074,u000074,2023-01-22 00:00:00,,biannual,240.0,240.0,GBP,paypal,False,,
sub000075,u000075,2023-02-13 00:00:00,2023-03-15 00:00:00,monthly,30.0,30.0,USD,google_pay,False,,
sub000076,u000076,2023-02-16 00:00:00,,annual,300.0,300.0,INR,apple_pay,True,2023-06-22 00:00:00,customer_service
sub000077,u000077,2023-02-20 00:00:00,2023-03-22 00:00:00,monthly,30.0,30.0,USD,credit_card,True,2023-03-14 00:00:00,too_expensive
sub000078,u000078,2023-03-30 00:00:00,,annual,300.0,300.0,EUR,paypal,False,,
sub000079,u000079,2023-03-20 00:00:00,,annual,300.0,300.0,EUR,credit_card,True,2023-06-20 00:00:00,customer_service
sub000080,u000080,2023-03-24 00:00:00,,annual,300.0,300.0,AUD,paypal,False,,
sub000081,u000081,2023-01-16 00:00:00,,annual,300.0,300.0,INR,apple_pay,True,2023-02-02 00:00:00,poor_battery_life
sub000082,u000082,2023-03-16 00:00:00,,annual,300.0,300.0,GBP,credit_card,True,2023-06-21 00:00:00,too_expensive
sub000083,u000083,2023-02-08 00:00:00,,annual,300.0,300.0,EUR,apple_pay,True,2023-06-24 00:00:00,device_uncomfortable
sub000084,u000084,2023-02-03 00:00:00,2023-03-05 00:00:00,monthly,30.0,30.0,CAD,paypal,False,,
sub000085,u000085,2023-02-24 00:00:00,,biannual,240.0,240.0,USD,credit_card,True,2023-06-26 00:00:00,didnt_use_enough
sub000086,u000086,2023-05-25 00:00:00,2023-06-24 00:00:00,monthly,30.0,30.0,USD,apple_pay,False,,
sub000087,u000087,2023-03-07 00:00:00,,annual,300.0,300.0,EUR,credit_card,True,2023-04-02 00:00:00,customer_service
