membership_id,team_id,user_id,joined_at,membership_status,is_admin,share_recovery,share_strain,share_sleep
tm000001,team001,u004468,2023-06-13 00:00:00,active,True,True,True,True
tm000002,team001,u000913,2023-06-26 00:00:00,active,False,True,False,True
tm000003,team001,u000205,2023-06-15 00:00:00,active,False,True,True,True
tm000004,team001,u002254,2023-06-14 00:00:00,active,False,True,False,True
tm000005,team001,u002007,2023-06-30 00:00:00,active,False,True,True,True
tm000006,team001,u001829,2023-06-19 00:00:00,active,False,True,True,True
tm000007,team001,u001144,2023-06-15 00:00:00,active,False,True,True,True
tm000008,team001,u000840,2023-06-24 00:00:00,active,False,True,True,True
tm000009,team001,u004469,2023-06-15 00:00:00,active,False,True,True,True
tm000010,team001,u000713,2023-06-25 00:00:00,active,False,True,True,True
tm000011,team001,u004839,2023-06-23 00:00:00,active,False,True,True,True
tm000012,team001,u003457,2023-06-23 00:00:00,active,False,True,False,True
tm000013,team001,u000261,2023-06-23 00:00:00,active,False,True,True,True
tm000014,team001,u000245,2023-06-17 00:00:00,active,False,True,True,True
tm000015,team001,u000768,2023-06-26 00:00:00,active,False,True,True,False
tm000016,team001,u001792,2023-06-29 00:00:00,active,False,True,True,True
tm000017,team001,u001906,2023-06-18 00:00:00,active,False,True,True,True
tm000018,team001,u004140,2023-06-27 00:00:00,active,False,False,True,True
tm000019,team001,u004933,2023-06-16 00:00:00,active,False,True,True,True
tm000020,team001,u000218,2023-06-16 00:00:00,active,False,True,True,True
tm000021,team001,u004599,2023-06-21 00:00:00,active,False,True,True,True
tm000022,team001,u001629,2023-06-22 00:00:00,active,False,True,True,True
tm000023,team001,u004465,2023-06-18 00:00:00,active,False,True,True,True
tm000024,team001,u003437,2023-06-23 00:00:00,active,False,True,True,False
tm000025,team001,u001806,2023-06-22 00:00:00,active,False,True,True,True
tm000026,team001,u003680,2023-06-28 00:00:00,active,False,False,True,True
tm000027,team001,u004829,2023-06-28 00:00:00,active,False,True,True,True
tm000028,team001,u002279,2023-06-19 00:00:00,active,False,True,True,True
tm000029,team001,u000054,2023-06-25 00:00:00,active,False,True,True,True
tm000030,team001,u001308,2023-06-16 00:00:00,active,False,True,True,True
tm000031,team002,u004465,2023-06-11 00:00:00,active,True,True,True,True
tm000032,team002,u004822,2023-06-21 00:00:00,active,False,True,True,True
tm000033,team002,u001805,2023-06-15 00:00:00,active,False,True,True,False
tm000034,team002,u000059,2023-06-25 00:00:00,active,False,True,True,True
tm000035,team002,u000582,2023-06-28 00:00:00,active,False,False,False,False
tm000036,team002,u000483,2023-06-16 00:00:00,active,False,True,True,False
tm000037,team002,u001876,2023-06-16 00:00:00,active,False,False,True,False
tm000038,team002,u000553,2023-06-25 00:00:00,active,False,True,True,False
tm000039,team002,u000258,2023-06-26 00:00:00,active,False,True,False,True
tm000040,team002,u002707,2023-06-28 00:00:00,active,True,True,True,True
tm000041,team002,u000581,2023-06-27 00:00:00,active,False,False,True,True
tm000042,team002,u004212,2023-06-30 00:00:00,active,True,True,True,False
tm000043,team002,u001950,2023-06-29 00:00:00,active,False,True,True,True
tm000044,team002,u002282,2023-06-29 00:00:00,active,False,True,True,True
tm000045,team002,u003977,2023-06-21 00:00:00,active,False,True,True,True
tm000046,team002,u001756,2023-06-21 00:00:00,active,False,True,True,True
tm000047,team002,u004418,2023-06-29 00:00:00,active,False,True,True,True
tm000048,team002,u001084,2023-06-22 00:00:00,active,False,True,True,True
tm000049,team002,u004679,2023-06-28 00:00:00,active,False,True,False,True
tm000050,team002,u004722,2023-06-11 00:00:00,active,False,True,False,True
tm000051,team002,u003873,2023-06-15 00:00:00,active,False,True,True,True
tm000052,team002,u001991,2023-06-20 00:00:00,active,False,True,True,True
tm000053,team002,u003875,2023-06-19 00:00:00,active,False,True,False,True
tm000054,team002,u003335,2023-06-24 00:00:00,active,False,True,True,True
tm000055,team002,u001560,2023-06-19 00:00:00,active,False,True,True,True
tm000056,team002,u000773,2023-06-14 00:00:00,active,True,True,False,True
tm000057,team002,u000795,2023-06-22 00:00:00,active,False,True,True,True
tm000058,team002,u003532,2023-06-12 00:00:00,active,False,True,True,True
tm000059,team002,u002903,2023-06-28 00:00:00,active,False,True,True,True
tm000060,team002,u003470,2023-06-18 00:00:00,active,False,False,True,False
tm000061,team002,u003368,2023-06-11 00:00:00,active,False,True,True,True
tm000062,team002,u003826,2023-06-18 00:00:00,active,False,True,True,False
tm000063,team002,u000444,2023-06-26 00:00:00,active,False,True,True,True
tm000064,team002,u000807,2023-06-18 00:00:00,active,False,True,True,True
tm000065,team002,u000497,2023-06-13 00:00:00,active,False,True,True,True
tm000066,team002,u003299,2023-06-28 00:00:00,active,False,True,True,True
tm000067,team003,u003662,2023-03-06 00:00:00,active,False,True,False,True
tm000068,team003,u001664,2023-06-01 00:00:00,active,False,True,True,True
tm000069,team003,u000238,2023-06-30 00:00:00,active,False,True,True,False
tm000070,team003,u000687,2023-06-01 00:00:00,active,False,True,True,True
tm000071,team003,u003757,2023-05-29 00:00:00,active,False,True,True,False
tm000072,team003,u002749,2023-05-26 00:00:00,active,False,True,True,True
tm000073,team003,u002168,2023-06-15 00:00:00,active,True,True,True,True
tm000074,team003,u004616,2023-05-23 00:00:00,active,False,True,True,True
tm000075,team003,u004971,2023-06-10 00:00:00,active,False,True,True,True
tm000076,team003,u001964,2023-05-05 00:00:00,active,False,True,True,False
tm000077,team003,u002760,2023-03-31 00:00:00,active,False,True,True,True
tm000078,team003,u003808,2023-04-01 00:00:00,active,False,True,True,True
tm000079,team003,u003218,2023-06-22 00:00:00,active,False,True,True,True
tm000080,team003,u000733,2023-04-01 00:00:00,active,False,True,False,False
tm000081,team003,u002434,2023-06-22 00:00:00,active,False,True,True,False
tm000082,team003,u003634,2023-05-06 00:00:00,active,False,True,False,True
tm000083,team003,u001191,2023-03-18 00:00:00,active,False,True,False,True
tm000084,team003,u001596,2023-06-30 00:00:00,active,False,True,False,False
tm000085,team004,u004946,2023-05-11 00:00:00,active,True,True,True,True
tm000086,team004,u003519,2023-06-27 00:00:00,active,False,True,True,True
tm000087,team004,u004517,2023-05-28 00:00:00,active,False,True,True,True
tm000088,team004,u003677,2023-06-05 00:00:00,active,False,True,False,False
tm000089,team004,u001313,2023-06-14 00:00:00,active,True,True,True,True
tm000090,team004,u003913,2023-06-21 00:00:00,active,False,True,True,True
tm000091,team004,u003711,2023-05-31 00:00:00,active,False,True,True,True
tm000092,team004,u002139,2023-06-28 00:00:00,active,False,True,True,True
tm000093,team004,u002041,2023-06-27 00:00:00,active,False,False,True,True
tm000094,team004,u002287,2023-06-29 00:00:00,active,False,True,True,True
tm000095,team004,u004296,2023-05-12 00:00:00,active,False,True,True,True
tm000096,team004,u003994,2023-05-24 00:00:00,active,False,True,True,True
tm000097,team004,u001975,2023-06-27 00:00:00,active,False,True,True,True
tm000098,team004,u002265,2023-06-17 00:00:00,active,True,True,True,False
tm000099,team004,u003628,2023-06-05 00:00:00,active,False,True,True,False
tm000100,team004,u000640,2023-05-26 00:00:00,active,False,True,True,True
tm000101,team004,u002356,2023-05-18 00:00:00,active,False,True,True,True
tm000102,team004,u001935,2023-06-22 00:00:00,active,False,True,True,False
tm000103,team004,u002241,2023-06-11 00:00:00,active,False,False,True,False
tm000104,team004,u002770,2023-06-25 00:00:00,active,False,True,True,True
tm000105,team004,u002637,2023-06-19 00:00:00,active,False,True,True,True
tm000106,team004,u004453,2023-06-26 00:00:00,active,False,True,True,False
tm000107,team004,u000667,2023-05-28 00:00:00,active,False,True,True,True
tm000108,team004,u001143,2023-06-04 00:00:00,active,False,True,True,True
tm000109,team004,u001245,2023-06-02 00:00:00,active,False,True,True,True
tm000110,team004,u001908,2023-05-28 00:00:00,active,False,True,True,True
tm000111,team004,u003158,2023-06-06 00:00:00,active,False,True,True,True
tm000112,team004,u001261,2023-06-11 00:00:00,active,False,True,True,True
tm000113,team004,u001766,2023-05-26 00:00:00,active,False,True,True,True
tm000114,team004,u000532,2023-06-07 00:00:00,active,False,True,True,True
tm000115,team004,u003421,2023-05-30 00:00:00,active,False,True,True,True
tm000116,team004,u003362,2023-06-14 00:00:00,active,False,True,True,True
tm000117,team004,u002729,2023-05-28 00:00:00,active,False,False,True,True
tm000118,team004,u004474,2023-05-17 00:00:00,active,False,True,True,True
tm000119,team004,u003841,2023-06-25 00:00:00,active,False,True,False,True
tm000120,team004,u003429,2023-06-24 00:00:00,active,False,True,True,True
tm000121,team004,u000516,2023-05-11 00:00:00,active,False,True,True,True
tm000122,team004,u001708,2023-05-14 00:00:00,active,False,True,True,True
tm000123,team004,u003465,2023-06-11 00:00:00,active,True,True,True,True
tm000124,team004,u003211,2023-06-16 00:00:00,active,False,True,True,True
tm000125,team004,u004816,2023-06-06 00:00:00,active,False,True,True,True
tm000126,team004,u000163,2023-06-08 00:00:00,active,False,True,True,True
tm000127,team004,u004747,2023-06-16 00:00:00,active,False,True,True,False
tm000128,team004,u003136,2023-05-24 00:00:00,active,False,True,True,True
tm000129,team004,u003932,2023-06-15 00:00:00,active,True,True,True,True
tm000130,team004,u000049,2023-05-29 00:00:00,active,True,True,True,False
tm000131,team004,u002900,2023-05-15 00:00:00,active,False,True,True,True
tm000132,team004,u002463,2023-06-22 00:00:00,active,False,True,True,True
tm000133,team004,u003215,2023-05-20 00:00:00,active,False,True,True,True
tm000134,team004,u003455,2023-05-30 00:00:00,active,False,True,False,True
tm000135,team004,u004438,2023-06-09 00:00:00,active,False,True,False,True
tm000136,team005,u002963,2023-05-11 00:00:00,active,True,True,True,True
tm000137,team005,u004071,2023-06-06 00:00:00,active,False,True,False,False
tm000138,team005,u003611,2023-06-15 00:00:00,active,True,True,True,True
tm000139,team005,u000665,2023-06-29 00:00:00,active,False,True,False,True
tm000140,team005,u004933,2023-06-14 00:00:00,active,False,True,True,True
tm000141,team005,u000332,2023-06-11 00:00:00,active,False,True,True,True
tm000142,team005,u003564,2023-05-29 00:00:00,active,False,True,True,False
tm000143,team005,u002658,2023-06-18 00:00:00,active,False,True,True,True
tm000144,team005,u004980,2023-06-06 00:00:00,active,True,False,False,True
tm000145,team005,u002067,2023-05-18 00:00:00,active,False,True,False,True
tm000146,team005,u000214,2023-06-25 00:00:00,active,False,True,False,True
tm000147,team005,u000755,2023-06-15 00:00:00,active,False,True,True,True
tm000148,team005,u001889,2023-05-19 00:00:00,active,False,True,True,True
tm000149,team005,u004744,2023-06-30 00:00:00,active,False,True,True,True
tm000150,team005,u004842,2023-06-17 00:00:00,active,False,True,True,True
tm000151,team005,u000172,2023-06-10 00:00:00,active,False,True,True,True
tm000152,team005,u002223,2023-05-31 00:00:00,active,False,False,True,True
tm000153,team005,u004752,2023-06-29 00:00:00,active,False,True,True,False
tm000154,team005,u000335,2023-06-04 00:00:00,active,False,True,True,False
tm000155,team005,u001448,2023-06-11 00:00:00,active,False,True,False,True
tm000156,team005,u003880,2023-05-17 00:00:00,active,False,True,True,True
tm000157,team005,u004278,2023-06-26 00:00:00,active,False,True,False,True
tm000158,team005,u003648,2023-06-30 00:00:00,active,False,True,True,True
tm000159,team005,u002294,2023-06-01 00:00:00,active,False,True,True,True
tm000160,team005,u001499,2023-06-25 00:00:00,active,False,True,True,True
tm000161,team005,u004828,2023-05-26 00:00:00,active,False,True,False,True
tm000162,team005,u003595,2023-06-07 00:00:00,active,False,True,True,True
tm000163,team005,u004054,2023-05-21 00:00:00,active,False,True,True,False
tm000164,team005,u000754,2023-05-29 00:00:00,active,False,True,True,True
tm000165,team005,u003876,2023-06-23 00:00:00,active,False,True,True,False
tm000166,team005,u002869,2023-06-19 00:00:00,active,False,True,True,True
tm000167,team005,u003369,2023-06-20 00:00:00,active,False,True,True,False
tm000168,team005,u002749,2023-05-29 00:00:00,active,False,True,True,True
tm000169,team005,u002648,2023-06-17 00:00:00,active,False,False,True,True
tm000170,team005,u000864,2023-05-30 00:00:00,active,False,True,True,True
tm000171,team005,u001327,2023-06-16 00:00:00,active,False,True,True,True
tm000172,team005,u002719,2023-06-22 00:00:00,active,False,True,True,False
tm000173,team006,u001908,2023-06-25 00:00:00,active,True,True,True,True
tm000174,team006,u000402,2023-06-29 00:00:00,active,False,True,True,True
tm000175,team006,u004969,2023-06-26 00:00:00,active,False,True,True,True
tm000176,team006,u004071,2023-06-28 00:00:00,active,True,True,True,False
tm000177,team006,u002346,2023-06-27 00:00:00,active,False,True,True,True
tm000178,team006,u001886,2023-06-27 00:00:00,active,False,True,True,True
tm000179,team006,u004975,2023-06-28 00:00:00,active,False,True,True,False
tm000180,team006,u002888,2023-06-28 00:00:00,active,False,True,False,False
tm000181,team006,u001795,2023-06-30 00:00:00,active,False,True,True,True
tm000182,team006,u001558,2023-06-25 00:00:00,active,False,True,True,True
tm000183,team007,u002188,2023-05-05 00:00:00,active,True,True,True,True
tm000184,team007,u002171,2023-06-13 00:00:00,active,False,False,True,True
tm000185,team007,u004840,2023-06-02 00:00:00,active,False,True,True,False
tm000186,team007,u003155,2023-05-28 00:00:00,active,False,False,True,True
tm000187,team007,u003076,2023-05-17 00:00:00,active,False,True,True,True
tm000188,team007,u000899,2023-05-18 00:00:00,active,False,True,True,False
tm000189,team007,u001937,2023-05-20 00:00:00,active,False,True,True,False
tm000190,team007,u003903,2023-06-09 00:00:00,active,False,True,True,True
