user_id,created_at,country,device_model,app_platform,app_version,age_group,gender,acquisition_source,notification_enabled,last_sync_date,calibration_complete,is_active
u000001,2023-01-26 00:00:00,Brazil,PeakPulse 3.0,iOS,4.1.9,45-54,Female,Instagram Ad,True,2023-06-12 00:00:00,False,False
u000002,2023-01-16 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,25-34,Male,Facebook Ad,True,2023-04-15 00:00:00,True,False
u000003,2023-01-25 00:00:00,Brazil,PeakPulse 3.0,iOS,4.1.5,55-64,Male,Podcast Sponsor,False,2023-06-26 00:00:00,True,True
u000004,2023-03-07 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,18-24,Male,Facebook Ad,True,2023-06-30 00:00:00,True,True
u000005,2023-02-19 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,55-64,Male,Referral,False,2023-06-29 00:00:00,True,True
u000006,2023-02-17 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,65+,Male,YouTube Ad,False,2023-06-25 00:00:00,True,True
u000007,2023-02-27 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,18-24,Female,Referral,False,2023-06-27 00:00:00,True,True
u000008,2023-02-07 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,25-34,Male,Podcast Sponsor,True,2023-06-30 00:00:00,True,True
u000009,2023-01-14 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Instagram Ad,True,2023-06-23 00:00:00,True,True
u000010,2023-03-04 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,25-34,Female,YouTube Ad,True,2023-06-24 00:00:00,True,True
u000011,2023-01-29 00:00:00,France,PeakPulse 3.0,Android,4.2.0,25-34,Female,Organic Search,False,2023-06-29 00:00:00,True,True
u000012,2023-03-17 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,35-44,Non-binary,YouTube Ad,True,2023-06-26 00:00:00,True,True
u000013,2023-01-05 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Non-binary,Podcast Sponsor,False,2023-06-25 00:00:00,True,True
u000014,2023-02-17 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Direct Website,True,2023-04-04 00:00:00,True,False
u000015,2023-02-16 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,18-24,Male,Facebook Ad,True,2023-04-17 00:00:00,True,False
u000016,2023-02-27 00:00:00,UK,PeakPulse 3.0,Android,4.2.0,25-34,Male,Organic Search,False,2023-05-24 00:00:00,True,False
u000017,2023-02-07 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,18-24,Male,YouTube Ad,True,2023-06-23 00:00:00,True,True
u000018,2023-01-23 00:00:00,UK,PeakPulse 3.0,Android,4.1.9,35-44,Male,Organic Search,True,2023-05-29 00:00:00,True,False
u000019,2023-03-26 00:00:00,France,PeakPulse 3.0,Android,4.2.0,25-34,Male,Facebook Ad,True,2023-06-27 00:00:00,False,True
u000020,2023-02-18 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,25-34,Male,Organic Search,True,2023-06-23 00:00:00,True,True
